filename,fixed_D1_legal_basis,fixed_D2_disposal_method,fixed_D3_transfer_mechanism,prop_review,prop_hintFired_iter1,saf_review,saf_hintFired_iter1
dsa_000.ttl,True,False,False,needs-change,True,pass,False
dsa_001.ttl,True,False,False,needs-change,True,pass,False
dsa_002.ttl,True,False,False,needs-change,True,pass,False
dsa_003.ttl,True,False,False,needs-change,True,pass,False
dsa_004.ttl,True,False,False,needs-change,True,pass,False
dsa_005.ttl,True,False,False,needs-change,True,pass,False
dsa_006.ttl,True,False,False,needs-change,True,pass,False
dsa_007.ttl,True,False,False,needs-change,True,pass,False
dsa_008.ttl,True,False,False,needs-change,True,pass,False
dsa_009.ttl,True,False,False,needs-change,True,pass,False
dsa_010.ttl,True,False,False,needs-change,True,pass,False
dsa_011.ttl,True,False,False,needs-change,True,pass,False
dsa_012.ttl,True,False,False,needs-change,True,pass,False
dsa_013.ttl,True,False,False,needs-change,True,pass,False
dsa_014.ttl,True,False,False,needs-change,False,pass,False
dsa_015.ttl,True,False,False,needs-change,False,pass,False
dsa_016.ttl,True,False,False,needs-change,False,pass,False
dsa_017.ttl,True,False,False,needs-change,False,pass,False
dsa_018.ttl,True,False,False,needs-change,False,pass,False
dsa_019.ttl,True,False,False,needs-change,False,pass,False
dsa_020.ttl,True,False,False,pass,False,needs-change,True
dsa_021.ttl,True,False,False,pass,False,needs-change,True
dsa_022.ttl,True,False,False,pass,False,needs-change,True
dsa_023.ttl,True,False,False,pass,False,needs-change,False
dsa_024.ttl,True,False,False,pass,False,needs-change,False
dsa_025.ttl,True,False,False,pass,False,needs-change,False
dsa_026.ttl,True,False,False,pass,False,needs-change,False
dsa_027.ttl,True,False,False,pass,False,needs-change,False
dsa_028.ttl,True,False,False,pass,False,needs-change,False
dsa_029.ttl,True,False,False,pass,False,needs-change,False
dsa_030.ttl,False,True,False,pass,False,needs-change,False
dsa_031.ttl,False,True,False,pass,False,needs-change,False
dsa_032.ttl,False,True,False,pass,False,needs-change,False
dsa_033.ttl,False,True,False,pass,False,needs-change,False
dsa_034.ttl,False,True,False,pass,False,needs-change,False
dsa_035.ttl,False,True,False,pass,False,needs-change,False
dsa_036.ttl,False,True,False,pass,False,needs-change,False
dsa_037.ttl,False,True,False,pass,False,needs-change,False
dsa_038.ttl,False,True,False,pass,False,needs-change,False
dsa_039.ttl,False,True,False,pass,False,needs-change,False
dsa_040.ttl,False,True,False,pass,False,pass,False
dsa_041.ttl,False,True,False,pass,False,pass,False
dsa_042.ttl,False,True,False,pass,False,pass,False
dsa_043.ttl,False,True,False,pass,False,pass,False
dsa_044.ttl,False,True,False,pass,False,pass,False
dsa_045.ttl,False,True,False,pass,False,pass,False
dsa_046.ttl,False,True,False,pass,False,pass,False
dsa_047.ttl,False,True,False,pass,False,pass,False
dsa_048.ttl,False,True,False,pass,False,pass,False
dsa_049.ttl,False,True,False,pass,False,pass,False
dsa_050.ttl,False,True,False,pass,False,pass,False
dsa_051.ttl,False,True,False,pass,False,pass,False
dsa_052.ttl,False,True,False,pass,False,pass,False
dsa_053.ttl,False,True,False,pass,False,pass,False
dsa_054.ttl,False,True,False,pass,False,pass,False
dsa_055.ttl,False,True,False,pass,False,pass,False
dsa_056.ttl,False,True,False,pass,False,pass,False
dsa_057.ttl,False,True,False,pass,False,pass,False
dsa_058.ttl,False,True,False,pass,False,pass,False
dsa_059.ttl,False,True,False,pass,False,pass,False
dsa_060.ttl,False,False,True,pass,False,pass,False
dsa_061.ttl,False,False,True,pass,False,pass,False
dsa_062.ttl,False,False,True,pass,False,pass,False
dsa_063.ttl,False,False,True,pass,False,pass,False
dsa_064.ttl,False,False,True,pass,False,pass,False
dsa_065.ttl,False,False,True,pass,False,pass,False
dsa_066.ttl,False,False,True,pass,False,pass,False
dsa_067.ttl,False,False,True,pass,False,pass,False
dsa_068.ttl,False,False,True,pass,False,pass,False
dsa_069.ttl,False,False,True,pass,False,pass,False
dsa_070.ttl,False,False,True,pass,False,pass,False
dsa_071.ttl,False,False,True,pass,False,pass,False
dsa_072.ttl,False,False,True,pass,False,pass,False
dsa_073.ttl,False,False,True,pass,False,pass,False
dsa_074.ttl,False,False,True,pass,False,pass,False
dsa_075.ttl,False,False,True,pass,False,pass,False
dsa_076.ttl,False,False,True,pass,False,pass,False
dsa_077.ttl,False,False,True,pass,False,pass,False
dsa_078.ttl,False,False,True,pass,False,pass,False
dsa_079.ttl,False,False,True,pass,False,pass,False
dsa_080.ttl,False,False,True,pass,False,pass,False
dsa_081.ttl,False,False,True,pass,False,pass,False
dsa_082.ttl,False,False,True,pass,False,pass,False
dsa_083.ttl,False,False,True,pass,False,pass,False
dsa_084.ttl,False,False,True,pass,False,pass,False
dsa_085.ttl,False,False,True,pass,False,pass,False
dsa_086.ttl,False,False,True,pass,False,pass,False
dsa_087.ttl,False,False,True,pass,False,pass,False
dsa_088.ttl,False,False,True,pass,False,pass,False
dsa_089.ttl,False,False,True,pass,False,pass,False
dsa_090.ttl,False,False,True,pass,False,pass,False
dsa_091.ttl,False,False,True,pass,False,pass,False
dsa_092.ttl,False,False,True,pass,False,pass,False
dsa_093.ttl,False,False,True,pass,False,pass,False
dsa_094.ttl,False,False,True,pass,False,pass,False
dsa_095.ttl,False,False,True,pass,False,pass,False
dsa_096.ttl,False,False,True,pass,False,pass,False
dsa_097.ttl,False,False,True,pass,False,pass,False
dsa_098.ttl,False,False,True,pass,False,pass,False
dsa_099.ttl,False,False,True,pass,False,pass,False
